F, L, R, RW, LW, CE, E 
36.0743070512, 84.0887822575, 37.0134486413, 0, 0, -8.90665618875, 6.07430705117,
34.8509405129, 84.4460639337, 44.807860912, 0, 0, -3.0971129311, 4.85094051288,
37.8100383454, 89.3642070113, 46.6332638638, 0, 0, 12.6839221081, 7.81003834541,
39.0083715336, 90.5767322246, 45.8887527643, 0, 0, 25.6136590302, 9.00837153364,
37.8100383454, 90.1691106009, 46.0114790351, 0, 0, 32.8336610119, 7.81003834541,
35.6593880667, 89.3642070113, 24.8067198635, 0, 0, 35.9486651538, 5.65938806675,
33.3888578215, 90.1691106009, 29.6307786531, 0, 0, 36.228123666, 3.3888578215,
30.5924160813, 92.6684217688, 96.6745563963, 0, 0, 32.0129386798, 0.592416081318,
27.4904496517, 93.0978193429, 96.6745563963, 0, 0, 23.2192164862, -2.50955034833,
25.0041308281, 88.1820288795, 90.9878620282, 0, 0, 12.6216245988, -4.99586917192,
24.7576902944, 90.1691106009, 95.7560002023, 0, 0, 5.33877347736, -5.24230970563,
24.2267138633, 89.3642070113, 96.213179863, 0, 0, -2.09771537451, -5.77328613669,
24.1317864078, 93.0978193429, 95.7560002023, 0, 0, -10.4945214482, -5.86821359224,
24.3700260221, 100.524154181, 97.1401901496, 0, 0, -18.8010495265, -5.62997397791,
23.3895643033, 80.0118990209, 81.6648832555, 0, 0, -29.4142573894, -6.61043569674,
25.1535613113, 94.8539958628, 93.0978193429, 0, 0, -32.1897594265, -4.84643868865,
27.0441891333, 97.6101426548, 93.5310222243, 0, 0, -32.2153049955, -2.95581086671,
26.8794071523, 84.8062010049, 90.5767322246, 0, 0, -34.7726743149, -3.1205928477,
31.4625355893, 89.3642070113, 95.7560002023, 0, 0, -23.2231658785, 1.46253558925,
32.8731313522, 85.5351848267, 30.7240018875, 0, 0, -15.680574038, 2.87313135223,
32.2979901303, 89.764950729, 25.4560145977, 0, 0, -12.3066765802, 2.29799013035,
36.4115561507, 92.242777667, 25.6090674458, 0, 0, 3.23136083298, 6.41155615071,
36.2423335539, 92.6684217688, 26.1809724501, 0, 0, 10.1592439271, 6.24233355391,
36.3267945127, 92.6684217688, 26.2868046938, 0, 0, 17.5022269389, 6.32679451267,
36.2423335539, 99.0465463991, 25.7117894542, 0, 0, 25.0449665718, 6.24233355391,
35.4139024274, 91.8208361568, 26.9341812356, 0, 0, 29.5443089884, 5.41390242738,
32.01594345, 87.4101906563, 93.0978193429, 0, 0, 25.7314436235, 2.01594344996,
31.4625355893, 94.4090561591, 96.213179863, 0, 0, 27.3745049643, 1.46253558925,
28.7115343516, 86.6509891456, 84.4460639337, 0, 0, 20.2219017463, -1.28846564842,
27.77453602, 90.5767322246, 93.9680832254, 0, 0, 15.2887478837, -2.22546398004,
24.4661872378, 83.7343208522, 88.1820288795, 0, 0, 3.97296858397, -5.53381276216,
25.2538432052, 85.5351848267, 90.1691106009, 0, 0, -1.1463472487, -4.74615679484,
26.0233031638, 94.4090561591, 94.8539958628, 0, 0, -5.73884556537, -3.97669683615,
23.4807051123, 76.8856362661, 79.3679980545, 0, 0, -18.5316953087, -6.51929488769,
26.339938476, 91.4025472897, 96.213179863, 0, 0, -18.7546656281, -3.66006152404,
26.8794071523, 92.242777667, 93.9680832254, 0, 0, -22.7964254405, -3.1205928477,
26.8247854271, 84.4460639337, 87.7945097731, 0, 0, -26.0203637047, -3.17521457294,
28.8317557682, 92.6684217688, 93.9680832254, 0, 0, -23.5848909151, -1.16824423181,
29.6935359242, 84.0887822575, 86.6509891456, 0, 0, -21.2721296594, -0.306464075764,
32.4403805393, 92.242777667, 96.6745563963, 0, 0, -12.9789337177, 2.44038053928,
33.1663768923, 90.1691106009, 36.3267945127, 0, 0, -6.30682721909, 3.16637689227,
34.5352785473, 92.242777667, 25.9710320552, 0, 0, 1.99983729622, 4.53527854729,
34.6137901537, 97.1401901496, 26.2868046938, 0, 0, 7.31115270283, 4.61379015365,
31.5309464911, 88.5727896903, 25.1535613113, 0, 0, 5.97561020512, 1.53094649114,
34.5352785473, 92.6684217688, 26.0757165292, 0, 0, 16.9014783602, 4.53527854729,
34.4570338203, 90.1691106009, 26.1282727553, 0, 0, 21.291564907, 4.4570338203,
34.2238868559, 93.5310222243, 26.4466444705, 0, 0, 25.2647318355, 4.22388685589,
32.5119215344, 97.1401901496, 35.3326421286, 0, 0, 24.0489006522, 2.51192153438,
30.0740839819, 89.3642070113, 87.4101906563, 0, 0, 19.4015543818, 0.0740839818847,
29.3197994367, 98.5632561505, 84.4460639337, 0, 0, 16.0206366298, -0.680200563328,
28.1791431777, 89.764950729, 93.0978193429, 0, 0, 10.7469838832, -1.82085682226,
27.377939218, 88.1820288795, 94.4090561591, 0, 0, 4.85017236608, -2.62206078204,
26.5002179377, 99.0465463991, 89.3642070113, 0, 0, -1.77341352395, -3.49978206228,
26.5539392275, 97.6101426548, 89.764950729, 0, 0, -4.65217530256, -3.44606077249,
27.2103603756, 90.5767322246, 99.0465463991, 0, 0, -7.73428390935, -2.78963962438,
27.3219220583, 96.6745563963, 98.5632561505, 0, 0, -11.7922276011, -2.67807794168,
25.1036193814, 78.733636375, 92.242777667, 0, 0, -21.7009934396, -4.89638061855,
26.8794071523, 85.9041048618, 88.9668346623, 0, 0, -21.5289265271, -3.1205928477,
27.77453602, 98.0844766581, 90.1691106009, 0, 0, -21.1183975689, -2.22546398004,
30.0101780787, 97.1401901496, 88.5727896903, 0, 0, -16.2328862663, 0.010178078667,
31.0565564118, 93.9680832254, 99.5344139795, 0, 0, -12.4136816596, 1.0565564118,
31.5309464911, 92.242777667, 107.451400183, 0, 0, -8.97309713702, 1.53094649114,
30.7240018875, 86.2760268879, 84.8062010049, 0, 0, -8.05271597454, 0.724001887466,
31.4625355893, 95.3029582232, 93.9680832254, 0, 0, -3.63049075392, 1.46253558925,
31.8762690649, 91.4025472897, 88.9668346623, 0, 0, -0.00347858905111, 1.8762690649,
32.01594345, 91.8208361568, 91.4025472897, 0, 0, 3.09228301606, 2.01594344996,
30.5924160813, 86.6509891456, 80.0118990209, 0, 0, 3.5385062987, 0.592416081318,
30.9229142027, 85.9041048618, 84.8062010049, 0, 0, 6.62560677165, 0.922914202682,
31.9459947768, 95.3029582232, 88.5727896903, 0, 0, 11.1746431739, 1.94599477676,
31.8762690649, 91.8208361568, 84.0887822575, 0, 0, 12.1548463419, 1.8762690649,
30.7901005244, 93.0978193429, 40.8696658337, 0, 0, 9.82263572848, 0.790100524402,
31.8762690649, 100.524154181, 36.1581716156, 0, 0, 12.2021663537, 1.8762690649,
32.5119215344, 92.6684217688, 35.0905445738, 0, 0, 14.5462230808, 2.51192153438,
32.2979901303, 94.4090561591, 28.8317557682, 0, 0, 14.6196329974, 2.29799013035,
31.4625355893, 97.6101426548, 39.5815194579, 0, 0, 12.7004838299, 1.46253558925,
30.0101780787, 88.9668346623, 70.7430962202, 0, 0, 8.5923095859, 0.010178078667,
30.0101780787, 97.1401901496, 67.517885051, 0, 0, 8.24296678431, 0.010178078667,
30.3316630978, 100.026926809, 63.8950291014, 0, 0, 8.53118615966, 0.331663097802,
30.4616390582, 97.6101426548, 63.8950291014, 0, 0, 7.90052464921, 0.46163905816,
27.9469436073, 107.451400183, 61.8020717203, 0, 0, 0.513538472836, -2.05305639274,
30.3316630978, 106.326122685, 64.1112337944, 0, 0, 5.00791499795, 0.331663097802,
29.3197994367, 96.213179863, 59.4452497031, 0, 0, 1.45030589876, -0.680200563328,
27.8893097331, 97.6101426548, 60.2130942737, 0, 0, -4.18424058915, -2.1106902669,
30.3316630978, 101.533036819, 65.2120556275, 0, 0, -0.479330079281, 0.331663097802,
30.4616390582, 120.130620668, 64.1112337944, 0, 0, -0.81991607722, 0.46163905816,
30.5269269567, 101.0261668, 63.6801156305, 0, 0, -0.37929095323, 0.526926956735,
29.3197994367, 97.1401901496, 59.2559596375, 0, 0, -3.20777317855, -0.680200563328,
30.3965514237, 106.326122685, 63.6801156305, 0, 0, -1.01533620889, 0.396551423727,
30.4616390582, 104.680495125, 63.6801156305, 0, 0, -0.885160940021, 0.46163905816,
27.5469443294, 91.4025472897, 60.9984905155, 0, 0, -6.95454996429, -2.45305567061,
30.3965514237, 101.0261668, 64.1112337944, 0, 0, -1.21640278006, 0.396551423727,
29.1967015712, 114.722729767, 57.9598286176, 0, 0, -3.68996120434, -0.80329842878,
30.3965514237, 125.292734535, 62.833136668, 0, 0, 0.214083515043, 0.396551423727,
30.3965514237, 101.0261668, 62.6245026238, 0, 0, 0.253016510598, 0.396551423727,
30.4616390582, 97.6101426548, 62.833136668, 0, 0, 0.383191779465, 0.46163905816,
30.5924160813, 97.6101426548, 60.8004618753, 0, 0, 0.684039300532, 0.592416081318,
29.3816238972, 86.6509891456, 55.008433382, 0, 0, -1.70045039137, -0.618376102795,
30.5269269567, 116.693552607, 53.0768434479, 0, 0, 0.668381047489, 0.526926956735,
30.4616390582, 100.524154181, 53.8673772468, 0, 0, 0.537805250339, 0.46163905816,
29.3197994367, 96.213179863, 55.510208417, 0, 0, -0.682160928264, -0.680200563328,
30.3316630978, 101.0261668, 60.6035595695, 0, 0, 1.30263339844, 0.331663097802,
29.2581589452, 96.213179863, 58.8805203301, 0, 0, -0.807500482291, -0.741841054767,
30.3316630978, 107.451400183, 52.1539175293, 0, 0, 1.30057482729, 0.331663097802,
30.2669731309, 106.326122685, 51.2578428316, 0, 0, 1.09344791788, 0.266973130936,
30.5269269567, 98.5632561505, 56.1915993778, 0, 0, 1.65252830863, 0.526926956735,
30.6581074001, 101.0261668, 63.6801156305, 0, 0, 1.95430398654, 0.658107400065,
30.3316630978, 94.8539958628, 62.6245026238, 0, 0, 1.87143890237, 0.331663097802,
30.3965514237, 116.029259426, 61.5994357817, 0, 0, 1.92299023441, 0.396551423727,
30.5269269567, 119.427331262, 62.4170901482, 0, 0, 2.22291403957, 0.526926956735,
30.3965514237, 101.533036819, 63.0430035292, 0, 0, 2.60821416579, 0.396551423727,
30.4616390582, 103.610586789, 62.0058856018, 0, 0, 2.81637501087, 0.46163905816,
29.4436331839, 90.9878620282, 59.8270164337, 0, 0, 0.891647805515, -0.556366816114,
30.3316630978, 97.1401901496, 62.6245026238, 0, 0, 0.891647805515, -0.556366816114,
30.3316630978, 104.142879494, 62.833136668, 0, 0, 0.891647805515, -0.556366816114,
