F, L, R, RW, LW, CE, E
34.3790545617, 97.1401901496, 88.5727896903, 0, 0, 8.75810912335, 4.37905456168,
34.0697643424, 91.8208361568, 89.3642070113, 0, 0, 8.13952868481, 4.06976434241,
30.8564042982, 87.7945097731, 83.3826451778, 0, 0, 1.7128085964, 0.8564042982,
33.9166760912, 94.8539958628, 88.9668346623, 0, 0, 7.83335218237, 3.91667609119,
32.9460826261, 90.9878620282, 80.6655647072, 0, 0, 5.89216525221, 2.94608262611,
34.0697643424, 92.6684217688, 86.2760268879, 0, 0, 8.13952868481, 4.06976434241,
32.9460826261, 87.4101906563, 81.3292278447, 0, 0, 5.89216525221, 2.94608262611,
33.5384100204, 98.5632561505, 88.9668346623, 0, 0, 7.07682004086, 3.53841002043,
33.9930916111, 100.026926809, 88.9668346623, 0, 0, 7.98618322213, 3.99309161107,
30.8564042982, 83.7343208522, 83.7343208522, 0, 0, 1.7128085964, 0.8564042982,
33.8405164407, 90.5767322246, 89.3642070113, 0, 0, 7.68103288132, 3.84051644066,
33.7646113269, 102.044837878, 88.5727896903, 0, 0, 7.52922265374, 3.76461132687,
34.2238868559, 90.1691106009, 89.3642070113, 0, 0, 8.44777371178, 4.22388685589,
33.9930916111, 90.5767322246, 88.5727896903, 0, 0, 7.98618322213, 3.99309161107,
34.2238868559, 90.1691106009, 89.3642070113, 0, 0, 8.44777371178, 4.22388685589,
34.1466956369, 95.7560002023, 88.9668346623, 0, 0, 8.29339127379, 4.1466956369,
34.3790545617, 89.3642070113, 89.3642070113, 0, 0, 8.75810912335, 4.37905456168,
32.8004181178, 87.0290305402, 80.6655647072, 0, 0, 5.60083623553, 2.80041811776,
30.7901005244, 84.8062010049, 83.7343208522, 0, 0, 1.5802010488, 0.790100524402,
33.8405164407, 94.8539958628, 89.3642070113, 0, 0, 7.68103288132, 3.84051644066,
33.8405164407, 89.3642070113, 88.5727896903, 0, 0, 7.68103288132, 3.84051644066,
34.1466956369, 97.1401901496, 91.8208361568, 0, 0, 8.29339127379, 4.1466956369,
32.6557009426, 88.9668346623, 84.0887822575, 0, 0, 5.31140188516, 2.65570094258,
34.2238868559, 92.6684217688, 88.9668346623, 0, 0, 8.44777371178, 4.22388685589,
33.9930916111, 90.1691106009, 88.5727896903, 0, 0, 7.98618322213, 3.99309161107,
34.3790545617, 91.8208361568, 88.9668346623, 0, 0, 8.75810912335, 4.37905456168,
32.9460826261, 89.3642070113, 80.6655647072, 0, 0, 5.89216525221, 2.94608262611,
31.0565564118, 85.5351848267, 84.0887822575, 0, 0, 2.11311282359, 1.0565564118,
34.0697643424, 98.5632561505, 88.9668346623, 0, 0, 8.13952868481, 4.06976434241,
31.5995738315, 90.9878620282, 83.7343208522, 0, 0, 3.19914766293, 1.59957383147,
33.7646113269, 93.0978193429, 87.4101906563, 0, 0, 7.52922265374, 3.76461132687,
33.9930916111, 93.9680832254, 88.5727896903, 0, 0, 7.98618322213, 3.99309161107,
33.6889594266, 95.3029582232, 88.9668346623, 0, 0, 7.37791885323, 3.68895942661,
33.6889594266, 103.610586789, 88.5727896903, 0, 0, 7.37791885323, 3.68895942661,
34.2238868559, 93.5310222243, 88.5727896903, 0, 0, 8.44777371178, 4.22388685589,
32.9460826261, 90.1691106009, 83.0337212664, 0, 0, 5.89216525221, 2.94608262611,
34.1466956369, 94.8539958628, 88.9668346623, 0, 0, 8.29339127379, 4.1466956369,
33.019273156, 86.2760268879, 83.3826451778, 0, 0, 6.03854631191, 3.01927315595,
33.9930916111, 92.6684217688, 88.9668346623, 0, 0, 7.98618322213, 3.99309161107,
32.7279417145, 87.0290305402, 83.7343208522, 0, 0, 7.98618322213, 3.99309161107,
33.8405164407, 92.6684217688, 88.9668346623, 0, 0, 7.98618322213, 3.99309161107,
33.8405164407, 95.7560002023, 89.764950729, 0, 0, 7.98618322213, 3.99309161107,
33.9166760912, 99.5344139795, 88.5727896903, 0, 0, 7.98618322213, 3.99309161107,
30.8564042982, 93.0978193429, 84.4460639337, 0, 0, 7.98618322213, 3.99309161107,
34.0697643424, 89.3642070113, 88.9668346623, 0, 0, 7.98618322213, 3.99309161107,
30.7240018875, 94.4090561591, 83.7343208522, 0, 0, 7.98618322213, 3.99309161107,
32.2271384057, 80.0118990209, 76.8856362661, 0, 0, 7.98618322213, 3.99309161107,
30.7901005244, 84.8062010049, 83.7343208522, 0, 0, 7.98618322213, 3.99309161107,
33.9930916111, 96.213179863, 90.9878620282, 0, 0, 7.98618322213, 3.99309161107,
34.0697643424, 90.1691106009, 88.9668346623, 0, 0, 7.98618322213, 3.99309161107,
34.0697643424, 95.7560002023, 88.9668346623, 0, 0, 7.98618322213, 3.99309161107,
